"RunID","DATE_DRIVEN","DATE_LAST_MODIFIED","DAYS_UNTIL_DUE","DISCOUNT_DAYS","ISINACTIVE","IS_PREFERRED","MINIMUM_DAYS","NAME","PAYMENT_TERMS_EXTID","PAYMENT_TERMS_ID","PERCENTAGE_DISCOUNT"
"61","No","2013-12-17 01:55:05","15.0",,"No","F",,"Net 15",,"1",
"61","No","2014-07-19 06:36:39","30.0",,"No","F",,"30 days",,"2",
"61","No","2014-07-19 06:36:39","60.0",,"No","F",,"60 days",,"3",
"61","No","2014-07-19 06:36:39",,,"No","F",,"Due on receipt",,"4",
"61","No","2013-12-17 01:55:05","30.0","10.0","No","F",,"1% 10 Net 30",,"5","1.0"
"61","No","2013-12-17 01:55:05","30.0","10.0","No","F",,"2% 10 Net 30",,"6","2.0"
"61","No","2014-11-19 04:24:35",,,"No","F",,"31 days",,"7",
"61","No","2014-07-19 06:36:39","90.0",,"No","F",,"90 days",,"8",
"61","No","2014-07-19 06:36:39","120.0",,"No","F",,"120 days",,"9",
"61","No","2014-07-19 06:36:39","150.0",,"No","F",,"150 days",,"10",
"61","Yes","2014-07-19 06:36:39","31.0",,"No","F",,"End Of February",,"11",
"61","No","2014-07-19 06:36:39","180.0",,"No","F",,"180 days",,"12",
"61","No","2014-07-19 06:36:39",,,"No","F",,"AO Term",,"13",
"61","No","2014-07-19 06:36:39",,,"No","F",,"COD",,"14",
"61","No","2014-07-19 06:36:39",,,"No","F",,"Prepayment",,"15",
"61","No","2014-07-19 06:36:39",,,"No","F",,"End of Month (EOM)",,"16",
"61","No","2014-12-18 09:54:03","7.0",,"No","F",,"7 days",,"17",
"61","No","2014-12-19 01:57:13","15.0",,"No","F",,"15 Days",,"18",
"61","Yes","2014-12-19 03:44:48","5.0",,"No","F",,"On 5 Every Month",,"19",
"61","Yes","2014-12-19 03:46:38","15.0",,"No","F",,"On 15 every month",,"20",
"61","Yes","2015-06-27 05:49:21","20.0",,"No","F","20.0","20th of the Following Month",,"22",
"61","No","2015-06-27 05:49:45","7.0",,"No","F",,"7 Days",,"23",
"61","No","2015-06-27 05:50:07","45.0",,"No","F",,"45 Days",,"24",
"61","No","2015-06-29 01:20:54","120.0",,"No","F",,"120 DAYS FROM STATEMENT",,"25",
"61","No","2015-06-29 01:21:04","120.0",,"No","F",,"120 DAYS FROM INVOICE",,"26",
"61","No","2015-06-29 01:21:22","14.0",,"No","F",,"14 DAYS FROM INVOICE",,"27",
"61","No","2015-06-29 01:21:31","20.0",,"No","F",,"20 DAYS FROM INVOICE",,"28",
"61","No","2015-06-29 01:21:52","30.0",,"No","F",,"30 DAYS FROM STATEMENT",,"29",
"61","No","2015-06-29 01:22:05","30.0",,"No","F",,"30 DAYS FROM INVOICE",,"30",
"61","No","2015-06-29 01:22:14","60.0",,"No","F",,"60 DAYS FROM INVOICE",,"31",
"61","No","2015-06-29 01:22:27","7.0",,"No","F",,"7 DAYS FROM INVOICE",,"32",
"61","No","2015-06-29 01:22:35","90.0",,"No","F",,"90 DAYS FROM INVOICE",,"33",
"61","No","2015-06-29 01:23:17","7.0",,"No","F",,"7 DAYS FROM STATEMENT",,"34",
"61","No","2015-06-30 07:29:16",,,"No","F",,"DUE UPON RECEIPT",,"35",
