"RunID","CURRENCY_EXTID","CURRENCY_ID","DATE_LAST_MODIFIED","IS_INACTIVE","NAME","PRECISION_0","SYMBOL"
"24",,"1","2014-05-30 02:22:02","No","US Dollar","2.0","USD"
"24",,"2","2014-08-04 10:30:21","No","British pound","2.0","GBP"
"24",,"3","2014-05-26 03:49:41","Yes","Canadian Dollar","2.0","CAD"
"24",,"4","2014-10-24 10:14:12","No","Euro","2.0","EUR"
"24",,"5","2014-05-26 05:26:38","No","Malaysian Ringgit","2.0","MYR"
"24",,"6","2014-05-30 02:22:12","No","Singapore Dollar","2.0","SGD"
"24",,"7","2014-05-30 02:22:24","No","Thailand Baht","2.0","THB"
"24",,"8","2014-05-30 02:22:34","No","Indonesian Rupiah","0.0","IDR"
"24",,"9","2014-05-30 02:23:23","No","Philippine Peso","2.0","PHP"
"24",,"10","2014-05-30 02:23:38","No","Indian Rupee","2.0","INR"
"24",,"11","2014-05-30 02:23:48","No","Taiwan Dollar","2.0","TWD"
"24",,"12","2014-07-20 17:51:29","No","Hong Kong Dollar","2.0","HKD"
"24",,"13","2015-06-28 23:24:28","No","New Zealand Dollar","2.0","NZD"
